card_id	card_parent_id	card_title	category_id	category_title	number_id
3fd93e9c-938c-4eab-8cf0-bf3f5f63a7ac	/repetitory-i-obucenie/drugoe	Магистерская диссертация по предмету ТГП (теория государства и права)			0
34585fb8-0c08-4d48-9bb3-d11725c8bb8b	/raznoe/buhgalter	Консультация бухгалтера			0
da46400f-a9d8-4f3c-80f7-0cb80f44abf2	/remont-avto/pomos_-na-dorogah	Помощь на дороге	/remont-avto/pomos_-na-dorogah/tehniceskaa-pomos_-na-doroge	Техническая помощь на дороге	1121
10f2db98-e1e8-4e3d-96f8-aed8ee2ad7c8	/remont-i-ustanovka-tehniki/remont-torgovogo-oborudovania	Очистка и промывка конденсатора аппаратом высокого давления			0
51c2dfe3-383a-4b5e-a377-76d1e3dd06d8	/remont-i-stroitel_stvo/stroitel_stvo-domov-i-kottedjej	Кирпичный дом 6 на 6	/remont-i-stroitel_stvo/stroitel_stvo-domov-i-kottedjej/stroitel_stvo-doma-iz-kirpica	Строительство дома из кирпича	1962
1e369554-ba90-4ba7-b41a-817394b7b4f9	/komp_utery-i-it/sajty-pod-kluc	Разработка недорогого сайта	/komp_utery-i-it/programmirovanie/razrabotka-sajtov	Разработка сайтов	343
a574a1ca-1668-4f73-bfe7-6e5a0eab2b1a	/remont-i-ustanovka-tehniki/holodil_niki	Ремонт холодильников IP Industrie (вызов мастера по холодильникам Айпи Индастри на дом)	/remont-i-ustanovka-tehniki/holodil_niki/remont-holodil_nikov	Ремонт холодильника	2237
aa164525-8e1c-42c0-ab38-bddd17de51b6	/remont-i-stroitel_stvo/remont-kvartir-i-domov	Отделка туалета			0
908a975d-86f7-4384-8cdb-403bda1527e9	/raznoe/internet-marketolog	Мессенджер-маркетинг	/raznoe/internet-marketolog/internet-reklama	Услуги интернет-маркетолога по интернет-рекламе	714
2f8e40e9-be3f-49a9-9e23-66ee8dfc81f8	/remont-i-stroitel_stvo/dveri-i-zamki	Вскрытие замков в квартире , открытие квартирных дверей	/remont-i-stroitel_stvo/dveri-i-zamki/vskrytie-zamka	Вскрытие дверного замка	1427
5abeaafa-ad33-4cc1-8ac2-9cdaabc9d5d8	/remont-i-stroitel_stvo/remont-kvartir-i-domov	Капитальный ремонт однокомнатной квартиры	/remont-i-stroitel_stvo/remont-kvartir-i-domov/kapital_nyj-remont-kvartiry	Капитальный ремонт квартиры	1818
ad6d21f4-4265-46c5-ae7a-f529b71a63ce	/remont-i-ustanovka-tehniki/stiral_nye-masiny	Ремонт стиральных машин Samsung 	4023	Ремонт стиральной машины	4023
a9b90d05-c6d6-4a7d-8bb1-aea7ba472bf0	/remont-i-stroitel_stvo/okna-i-balkony	Установка алюминиевых дверей	/remont-i-stroitelstvo/okna-i-balkonyi/ustanovka-balkonnoj-dveri	Установка балконной двери	4239
985e62c0-4c9f-466d-a8ce-08165c1a673b	/krasota/spa-prozedury	Солевая аромасауна			0
9615974c-f443-4773-9aba-8aabc2db79fd	/raznoe/drugoe	Арматура 36 мм А1 с доставкой			0
31d0d09d-d5ed-4ed3-896a-fcb0170077a9	/komp_utery-i-it/sajty-pod-kluc	SEO-продвижение	/raznoe/internet-marketolog/seo-prodvijenie	Услуги интернет маркетолога по SEO-продвижению	712
2a7b4f71-1d7d-4913-8b49-0908bb01cc4b	/remont-i-stroitel_stvo/gazifikazia	Автономная газификация цена	/remont-i-stroitel_stvo/gazifikazia/ustanovka-gazovogo-rezervuara	Установка газового резервуара	1424
21f9cf66-83a8-407b-83b1-e7c47829ecac	/repetitory-i-obucenie/himia	Консультация по творческим работам по химии и смежным предметам			0
c3190dc6-024b-4dac-82cc-7526a25a38ae	/dizajnery/illustrator	Дизайн иконки			0
